date,volume,chlorine,cholera,chol_highcov,chol_lowcov,rain
01/01/2009,4260,,10,1,9,0
02/01/2009,3967,,11,3,8,0.814
03/01/2009,3118,,8,1,7,8.112
04/01/2009,3895,,10,1,9,0
05/01/2009,2555,,6,1,5,5.196
06/01/2009,3702,,5,1,4,2.58
07/01/2009,1471,,4,2,2,2.025
08/01/2009,3453,,6,4,2,7.819
09/01/2009,2532,,6,1,5,2.766
10/01/2009,3974,,4,1,3,0
11/01/2009,3919,,6,1,5,0
12/01/2009,3637,,3,0,3,0.838
13/01/2009,2332,,1,0,1,0
14/01/2009,1640,,5,3,2,1.497
15/01/2009,2625,,4,0,4,0
16/01/2009,4360,,4,1,3,1.497
17/01/2009,4265,,3,1,2,1.527
18/01/2009,3752,,4,1,3,0.607
19/01/2009,4474,,2,1,1,0
20/01/2009,4519,,4,1,3,7.167
21/01/2009,3008,,3,1,2,0
22/01/2009,1948,,3,3,0,0
23/01/2009,0,0,6,0,6,19.461
24/01/2009,2601,,10,2,8,0.635
25/01/2009,0,0,8,2,6,1.318
26/01/2009,1539,,11,4,7,4.557
27/01/2009,1644,,5,3,2,0.251
28/01/2009,3741,,7,3,4,1.09
29/01/2009,3514,,6,3,3,2.354
30/01/2009,3537,,5,2,3,0.853
31/01/2009,3524,,6,3,3,1.085
01/02/2009,2972,,6,1,5,8.121
02/02/2009,3937,,5,2,3,0.377
03/02/2009,3391,,3,1,2,11.56
04/02/2009,3582,,2,0,2,28.221
05/02/2009,2338,,6,1,5,2.673
06/02/2009,2471,,6,2,4,0.54
07/02/2009,3163,,7,2,5,0
08/02/2009,2608,,4,2,2,40.741
09/02/2009,2042,,8,4,4,0
10/02/2009,761,,3,1,2,0
11/02/2009,3108,,9,2,7,0.356
12/02/2009,4296,,5,1,4,0
13/02/2009,3689,,7,3,4,0.412
14/02/2009,3123,,7,1,6,0
15/02/2009,3543,,3,1,2,0
16/02/2009,4250,,1,0,1,0
17/02/2009,3355,0.47,7,2,5,1.079
18/02/2009,2646,0.5,5,1,4,4.738
19/02/2009,4136,0.47,2,0,2,1.344
20/02/2009,2158,0.64,6,3,3,3.465
21/02/2009,0,0,6,3,3,1.77
22/02/2009,1470,0.4,7,4,3,0
23/02/2009,601,0.5,5,2,3,9.924
24/02/2009,2994,0.6,11,7,4,1.756
25/02/2009,405,0.7,9,4,5,2.296
26/02/2009,3550,0.4,13,9,4,0.237
27/02/2009,3224,0.6,6,2,4,0.608
28/02/2009,3882,0.6,6,4,2,2.252
01/03/2009,4504,0.5,8,5,3,0
02/03/2009,4577,0.5,4,1,3,0.111
03/03/2009,3625,0.6,3,0,3,4.545
04/03/2009,3313,0.5,3,1,2,2.229
05/03/2009,4396,0.6,1,0,1,0
06/03/2009,2789,0.4,2,0,2,6.318
07/03/2009,2290,0.4,5,1,4,41.835
08/03/2009,0,0,1,0,1,0
09/03/2009,3965,0.2,5,1,4,2.403
10/03/2009,2869,0.3,0,0,0,0
11/03/2009,2858,0.4,1,0,1,7.862
12/03/2009,1684,0.5,2,1,1,3.161
13/03/2009,541,0.6,2,2,0,12.669
14/03/2009,2516,0.5,1,0,1,9.569
15/03/2009,3468,0.5,4,0,4,0
16/03/2009,3041,0.3,3,3,0,1.233
17/03/2009,1977,0.4,2,0,2,27.959
18/03/2009,1462,,2,2,0,0
19/03/2009,4607,0.4,2,2,0,4.235
20/03/2009,4574,0.3,5,3,2,0
21/03/2009,4590,0.3,3,2,1,0
22/03/2009,3333,0.3,4,2,2,12.17
23/03/2009,3978,0.4,1,1,0,2.384
24/03/2009,4350,0.3,2,1,1,0.205
25/03/2009,4361,0.3,1,0,1,1.983
26/03/2009,2700,0.3,0,0,0,0
27/03/2009,3494,0.2,1,0,1,0
28/03/2009,4616,0.5,2,1,1,0
29/03/2009,3166,0.2,1,1,0,2.354
30/03/2009,2700,0.3,1,0,1,16.176
31/03/2009,3549,0.3,0,0,0,36.707
01/04/2009,3166,0.3,1,1,0,0
02/04/2009,862,0.4,1,0,1,10.89
03/04/2009,3341,0.3,3,2,1,3.885
04/04/2009,3273,0.6,3,3,0,0
05/04/2009,3001,0.3,1,0,1,3.416
06/04/2009,3533,0.3,2,1,1,0
07/04/2009,3719,0.4,3,0,3,0
08/04/2009,2777,0.3,0,0,0,32.474
09/04/2009,2979,0.3,2,1,1,0.333
10/04/2009,3702,0.4,1,1,0,2.009
11/04/2009,3731,0.3,0,0,0,10.798
12/04/2009,3885,0.6,2,1,1,21.907
13/04/2009,3063,0.5,1,1,0,0
14/04/2009,3996,0.5,1,1,0,9.813
15/04/2009,4256,0.4,0,0,0,25.29
16/04/2009,4789,0.4,0,0,0,0
17/04/2009,4260,0.3,3,2,1,0
18/04/2009,3884,0.3,3,3,0,3.742
19/04/2009,3661,0.4,2,1,1,0
20/04/2009,3689,0.4,1,1,0,10.722
21/04/2009,4576,0.4,1,0,1,0.428
22/04/2009,2855,0.3,0,0,0,3.093
23/04/2009,4250,0.3,0,0,0,0
24/04/2009,4026,0.3,0,0,0,0
25/04/2009,4229,0.5,1,1,0,0
26/04/2009,3882,0.5,2,1,1,1.885
27/04/2009,4012,0.3,3,1,2,6.476
28/04/2009,1267,,2,2,0,0.518
29/04/2009,3569,0.5,1,0,1,0
30/04/2009,4182,0.2,0,0,0,14.694
01/05/2009,4282,0.36,0,0,0,4.795
02/05/2009,4412,0.37,5,3,2,0.013
03/05/2009,4950,0.2,0,0,0,0
04/05/2009,4872,0.4,1,1,0,1.345
05/05/2009,4459,0.21,0,0,0,0
06/05/2009,4978,0.2,0,0,0,0
07/05/2009,2762,0.3,0,0,0,3.201
08/05/2009,4451,0.3,1,1,0,0.898
09/05/2009,4613,0.27,0,0,0,0
10/05/2009,4420,0.2,3,1,2,0
11/05/2009,3249,0.4,0,0,0,11.36
12/05/2009,4543,0.3,3,3,0,4.632
13/05/2009,4397,0.3,2,0,2,0
14/05/2009,2631,0.5,2,0,2,5.271
15/05/2009,3392,0.2,1,1,0,0
16/05/2009,4223,0.3,2,0,2,3.35
17/05/2009,3662,0.2,2,2,0,2.031
18/05/2009,4742,0.1,1,1,0,0.013
19/05/2009,5049,0.2,3,0,3,4.542
20/05/2009,3783,0.3,0,0,0,3.834
21/05/2009,4645,0.2,2,0,2,1.446
22/05/2009,3046,0.3,1,1,0,0.308
23/05/2009,4573,0.2,1,1,0,0
24/05/2009,5256,0.2,1,1,0,0
25/05/2009,4579,0.3,1,1,0,0
26/05/2009,4364,0.3,1,0,1,0
27/05/2009,4567,0.2,2,0,2,0
28/05/2009,4420,0.4,1,1,0,0
29/05/2009,3986,0.1,2,1,1,0
30/05/2009,3859,0.2,4,3,1,1.159
31/05/2009,4733,0.4,1,1,0,0
01/06/2009,5274,0.2,1,1,0,0.033
02/06/2009,3084,0.25,2,2,0,0
03/06/2009,4438,0.24,0,0,0,0.415
04/06/2009,4334,0.32,2,0,2,0
05/06/2009,4243,0.25,1,0,1,0.761
06/06/2009,3968,0.52,0,0,0,0
07/06/2009,4695,0.2,1,0,1,0
08/06/2009,4590,0.22,1,1,0,0
09/06/2009,3577,0.4,0,0,0,0
10/06/2009,4017,0.2,1,0,1,0.053
